DZIEN, PREDKOSC
2016/12/29, 15.254237288135613
2016/12/28, 33.89830508474577
2016/12/28, 41.52542372881359
2016/12/28, 44.91525423728814
2017/01/01, 30.508474576271198
2017/01/02, 21.186440677966118
2017/01/04, 17.796610169491544
2017/01/06, 10.169491525423751
2017/01/07, 10.169491525423751
2017/01/08, 13.559322033898326
2017/01/09, 10.169491525423751
2017/01/06, 35.59322033898306
2017/01/09, 25.423728813559336
2017/01/10, 26.27118644067798
2017/01/12, 21.186440677966118
2017/01/14, 11.864406779661039
2017/01/14, 19.49152542372883
2017/01/15, 21.186440677966118
2017/01/17, 11.864406779661039
2017/01/18, 13.559322033898326
2017/01/19, 15.254237288135613
2017/01/20, 15.254237288135613
2017/01/22, 8.474576271186464
2017/01/21, 15.254237288135613
2017/01/23, 11.864406779661039
2017/01/24, 11.864406779661039
2017/01/26, 6.779661016949177
2017/01/27, 6.779661016949177
2017/01/28, 6.779661016949177
2017/01/29, 5.0847457627118615
2017/01/28, 16.9491525423729
2017/01/30, 13.559322033898326
2017/01/30, 16.101694915254257
2017/01/30, 21.186440677966118
2017/01/31, 21.186440677966118
2017/02/02, 13.559322033898326
2017/02/03, 17.796610169491544
2017/02/04, 21.186440677966118
2017/02/04, 24.576271186440692
2017/02/06, 21.186440677966118
2017/02/06, 27.118644067796623
2017/02/07, 27.118644067796623
2017/02/09, 21.186440677966118
2017/02/10, 21.186440677966118
2017/02/11, 17.796610169491544
2017/02/14, 8.474576271186464
2017/02/13, 17.796610169491544
2017/02/14, 24.576271186440692
2017/02/16, 13.559322033898326
2017/02/16, 15.254237288135613
2017/02/16, 28.81355932203391
2017/02/16, 32.203389830508485
2017/02/15, 45.76271186440678
2017/02/16, 47.45762711864407
2017/02/14, 71.18644067796612
2017/02/20, 30.508474576271198
2017/02/21, 33.89830508474577
2017/02/25, 15.254237288135613
2017/02/23, 38.13559322033899
2017/02/23, 41.52542372881359
2017/02/23, 50
2017/02/27, 28.81355932203391
2017/02/28, 24.576271186440692
2017/02/28, 36.4406779661017
2017/03/03, 22.881355932203405
2017/03/04, 19.49152542372883
2017/03/06, 14.40677966101697
2017/03/06, 19.49152542372883
2017/03/08, 15.254237288135613
2017/03/08, 21.186440677966118
2017/03/09, 21.186440677966118
2017/03/10, 14.40677966101697
2017/03/11, 15.254237288135613
2017/03/11, 28.81355932203391
2017/03/11, 32.203389830508485
2017/03/13, 28.81355932203391
2017/03/12, 43.22033898305085
2017/03/14, 38.13559322033899
2017/03/16, 28.81355932203391
2017/03/16, 30.508474576271198
2017/03/18, 24.576271186440692
2017/03/19, 27.118644067796623
2017/03/21, 16.101694915254257
2017/03/20, 32.203389830508485
2017/03/23, 19.49152542372883
2017/03/23, 26.27118644067798
2017/03/24, 24.576271186440692
2017/03/23, 39.83050847457628
2017/03/27, 21.186440677966118
2017/03/28, 21.186440677966118
2017/03/30, 11.016949152542395
2017/03/29, 25.423728813559336
2017/03/30, 27.118644067796623
2017/03/30, 32.203389830508485
2017/04/02, 21.186440677966118
2017/04/01, 32.203389830508485
2017/04/04, 21.186440677966118
2017/04/04, 22.881355932203405
2017/04/07, 15.254237288135613
2017/04/07, 19.49152542372883
2017/04/06, 32.203389830508485
2017/04/06, 43.22033898305085
2017/04/08, 30.508474576271198
2017/04/09, 33.89830508474577
2017/04/10, 30.508474576271198
2017/04/09, 46.610169491525454
2017/04/14, 21.186440677966118
2017/04/15, 17.796610169491544
2017/04/13, 36.4406779661017
2017/04/15, 33.89830508474577
2017/04/17, 27.118644067796623
2017/04/17, 36.4406779661017
2017/04/18, 32.203389830508485
2017/04/20, 23.72881355932205
2017/04/19, 36.4406779661017
2017/04/23, 19.49152542372883
2017/04/25, 14.40677966101697
2017/04/24, 24.576271186440692
2017/04/26, 19.49152542372883
2017/04/27, 19.49152542372883
2017/04/25, 39.83050847457628
2017/04/27, 30.508474576271198
2017/04/29, 25.423728813559336
2017/04/30, 25.423728813559336
2017/05/01, 27.118644067796623
2017/05/03, 19.49152542372883
2017/05/03, 23.72881355932205
2017/05/04, 23.72881355932205
2017/05/05, 24.576271186440692
2017/05/06, 26.27118644067798
2017/05/09, 11.864406779661039
2017/05/08, 25.423728813559336
2017/05/10, 16.101694915254257
2017/05/12, 14.40677966101697
2017/05/12, 17.796610169491544
2017/05/14, 16.101694915254257
2017/05/15, 16.101694915254257
2017/05/14, 21.186440677966118
2017/05/16, 19.49152542372883
2017/05/15, 29.661016949152554
2017/05/17, 25.423728813559336
2017/05/20, 11.016949152542395
2017/04/28, 181.35593220338984
2017/05/20, 24.576271186440692
2017/05/22, 17.796610169491544
2017/05/23, 16.101694915254257
2017/05/24, 16.9491525423729
2017/05/26, 14.40677966101697
2017/05/25, 22.881355932203405
2017/05/24, 38.13559322033899
2017/05/27, 28.81355932203391
2017/05/28, 30.508474576271198
2017/05/30, 22.03389830508476
2017/06/01, 14.40677966101697
2017/05/27, 54.237288135593246
2017/06/03, 17.796610169491544
2017/06/04, 17.796610169491544
2017/06/02, 33.89830508474577
2017/06/05, 17.796610169491544
2017/06/06, 17.796610169491544
2017/06/05, 33.89830508474577
2017/06/09, 14.40677966101697
2017/06/08, 23.72881355932205
2017/06/08, 33.89830508474577
2017/06/11, 22.881355932203405
2017/06/13, 11.864406779661039
2017/06/12, 30.508474576271198
2017/06/13, 30.508474576271198
2017/06/15, 19.49152542372883
2017/06/16, 17.796610169491544
2017/06/16, 26.27118644067798
2017/06/18, 23.72881355932205
2017/06/19, 23.72881355932205
2017/06/17, 39.83050847457628
2017/06/20, 27.118644067796623
2017/06/20, 32.203389830508485
2017/06/21, 33.89830508474577
2017/06/24, 20.338983050847474
2017/06/24, 25.423728813559336
2017/06/23, 45.76271186440678
2017/06/24, 39.83050847457628
2017/06/27, 28.81355932203391
2017/06/27, 32.203389830508485
2017/06/29, 28.81355932203391
2017/06/29, 32.203389830508485
2017/07/01, 23.72881355932205
2017/07/03, 16.101694915254257
2017/07/04, 17.796610169491544
2017/07/04, 28.81355932203391
2017/07/07, 14.40677966101697
2017/07/06, 27.966101694915267
2017/07/06, 30.508474576271198
2017/07/07, 30.508474576271198
2017/07/07, 38.98305084745766
2017/07/12, 12.711864406779682
2017/07/12, 17.796610169491544
2017/07/13, 19.49152542372883
2017/07/14, 23.72881355932205
2017/07/16, 11.864406779661039
2017/07/17, 12.711864406779682
2017/07/17, 21.186440677966118
2017/07/19, 16.101694915254257
2017/07/18, 24.576271186440692
2017/07/17, 39.83050847457628
2017/07/20, 25.423728813559336
2017/07/21, 28.81355932203391
2017/07/22, 28.81355932203391
2017/07/22, 33.89830508474577
2017/07/24, 23.72881355932205
2017/07/26, 20.338983050847474
2017/07/28, 11.864406779661039
2017/07/27, 27.118644067796623
2017/07/30, 14.40677966101697
2017/07/30, 21.186440677966118
2017/07/28, 39.83050847457628
2017/08/01, 22.881355932203405
2017/08/02, 17.796610169491544
2017/08/03, 19.49152542372883
2017/08/04, 17.796610169491544
2017/08/04, 28.81355932203391
2017/08/07, 16.101694915254257
2017/08/08, 17.796610169491544
2017/08/05, 38.13559322033899
2017/08/08, 27.118644067796623
2017/08/11, 10.169491525423751
2017/08/12, 15.254237288135613
2017/08/12, 17.796610169491544
2017/08/13, 19.49152542372883
2017/08/15, 11.864406779661039
2017/08/16, 10.169491525423751
2017/08/15, 30.508474576271198
2017/08/18, 16.101694915254257
2017/08/18, 22.881355932203405
2017/08/18, 30.508474576271198
2017/08/19, 25.423728813559336
2017/08/21, 25.423728813559336
2017/08/22, 21.186440677966118
2017/08/23, 17.796610169491544
2017/08/23, 26.27118644067798
2017/08/26, 17.796610169491544
2017/08/27, 13.559322033898326
2017/08/28, 8.474576271186464
2017/08/30, 8.474576271186464
2017/08/28, 28.81355932203391
2017/08/30, 22.03389830508476
2017/09/01, 16.101694915254257
2017/08/31, 30.508474576271198
2017/09/01, 30.508474576271198
2017/09/03, 22.03389830508476
2017/09/03, 30.508474576271198
2017/09/05, 23.72881355932205
2017/09/06, 23.72881355932205
2017/09/08, 16.101694915254257
2017/09/08, 17.796610169491544
2017/09/08, 24.576271186440692
2017/09/08, 32.203389830508485
2017/09/08, 39.83050847457628
2017/09/10, 38.13559322033899
2017/09/14, 12.711864406779682
2017/09/13, 27.118644067796623
2017/09/15, 27.118644067796623
2017/09/16, 21.186440677966118
2017/09/17, 19.49152542372883
2017/09/18, 25.423728813559336
2017/09/19, 16.101694915254257
2017/09/19, 26.27118644067798
2017/09/21, 19.49152542372883
2017/09/22, 23.72881355932205
2017/09/23, 18.644067796610187
2017/09/23, 30.508474576271198
2017/09/25, 22.881355932203405
2017/09/26, 16.101694915254257
2017/09/28, 16.101694915254257
2017/09/29, 13.559322033898326
2017/10/01, 10.169491525423751
2017/09/29, 27.118644067796623
2017/09/29, 32.203389830508485
2017/09/26, 64.40677966101697
2017/09/29, 50.847457627118644
2017/10/03, 25.423728813559336
2017/10/04, 30.508474576271198
2017/10/05, 28.81355932203391
2017/10/07, 17.796610169491544
2017/10/06, 33.05084745762713
2017/10/06, 39.83050847457628
2017/10/08, 33.89830508474577
2017/10/11, 24.576271186440692
2017/10/12, 22.881355932203405
2017/10/13, 22.881355932203405
2017/10/15, 11.016949152542395
2017/10/16, 11.016949152542395
2017/10/17, 13.559322033898326
2017/10/18, 15.254237288135613
2017/10/19, 15.254237288135613
2017/10/20, 12.711864406779682
2017/10/21, 13.559322033898326
2017/10/22, 15.254237288135613
2017/10/23, 15.254237288135613
2017/10/22, 30.508474576271198
2017/10/24, 21.186440677966118
2017/10/24, 32.203389830508485
2017/10/22, 47.45762711864407
2017/10/24, 38.13559322033899
2017/10/27, 28.81355932203391
2017/10/27, 33.05084745762713
2017/10/29, 27.118644067796623
2017/11/01, 16.101694915254257
2017/11/02, 14.40677966101697
2017/11/03, 14.40677966101697
2017/11/04, 14.40677966101697
2017/11/03, 27.118644067796623
2017/11/05, 25.423728813559336
2017/11/06, 18.644067796610187
2017/11/06, 23.72881355932205
2017/11/06, 32.203389830508485
2017/11/09, 17.796610169491544
2017/11/10, 17.796610169491544
2017/11/12, 13.559322033898326
2017/11/14, 6.779661016949177
2017/11/14, 15.254237288135613
2017/11/15, 15.254237288135613
2017/11/14, 28.81355932203391
2017/11/14, 33.89830508474577
2017/11/16, 32.203389830508485
2017/11/19, 14.40677966101697
2017/11/20, 14.40677966101697
2017/11/21, 11.864406779661039
2017/11/22, 11.864406779661039
2017/11/21, 27.118644067796623
2017/11/23, 19.49152542372883
2017/11/25, 17.796610169491544
2017/11/15, 91.52542372881356
2017/11/26, 16.9491525423729
2017/11/26, 27.118644067796623
2017/11/28, 23.72881355932205
2017/12/01, 10.169491525423751
2017/11/30, 16.9491525423729
2017/11/29, 30.508474576271198
2017/12/01, 30.508474576271198
2017/12/01, 33.05084745762713
2017/12/03, 25.423728813559336
2017/12/05, 18.644067796610187
2017/12/05, 27.118644067796623
2017/12/05, 33.05084745762713
2017/12/05, 40.67796610169492
2017/12/06, 43.22033898305085
2017/12/10, 21.186440677966118
2017/12/09, 39.83050847457628
2017/12/10, 33.89830508474577
2017/12/13, 18.644067796610187
2017/12/15, 10.169491525423751
2017/12/16, 12.711864406779682
2017/12/16, 20.338983050847474
2017/12/18, 16.101694915254257
2017/12/17, 24.576271186440692
2017/12/18, 23.72881355932205
2017/12/18, 38.13559322033899
2017/12/19, 38.13559322033899
2017/12/20, 33.05084745762713
2017/12/25, 8.474576271186464
2017/12/24, 16.101694915254257
2017/12/25, 21.186440677966118
2017/12/27, 16.101694915254257
2017/12/29, 8.474576271186464
2017/12/27, 27.118644067796623
